Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
22005,태양사,서울특별시,중구,남산동2가,,Apr-50,퇴계로18길,126.9846537,37.55750736
22006,상미회,서울특별시,중구,태평로1가,,Jan-61,세종대로,126.9764854,37.56810552
22007,마중,전라북도,전주시 덕진구,인후동1가,,842-1,무삼지로,127.1624261,35.83327588
22008,마실,부산광역시,부산진구,부전동,,280-76,부전로,129.0614969,35.16475787
22009,해외,제주특별자치도,제주시,연동,,300-6,삼무로11길,126.4961462,33.49207896
22010,줄,경기도,용인시 수지구,동천동,,177-28,동천로,127.1020238,37.34239462
22011,엠티엠발리,서울특별시,중구,을지로1가,,37,을지로1길,126.979722,37.56679476
22012,제이슨관광,서울특별시,강남구,삼성동,,Jan-57,학동로,127.0557775,37.51956934
22013,씨더블유씨,서울특별시,마포구,서교동,,480-26,양화로7길,126.9136277,37.55427851
22015,에르모소글로벌,제주특별자치도,제주시,이도이동,,1018-16,중앙로,126.5326521,33.49539427
22016,세종컴퍼니,대전광역시,유성구,장대동,,277-9,유성대로730번길,127.3346935,36.35806997
22017,아름다운사람들,전라남도,장흥군,장흥읍,남외리,Jun-89,읍성로,126.8963768,34.67276196
22018,페이창코리아,서울특별시,구로구,구로동,,197-10,디지털로33길,126.8930445,37.48675863
22019,삼양고속관광,경상남도,양산시,하북면,순지리,166-13,통도사로,129.0893566,35.49176426
22020,TASTYEASTTOUR,강원특별자치도,춘천시,서면,서상리,326-3,뒷개길,127.6953536,37.93739424
22021,양지고속관광,경기도,부천시,약대동,,182-60,평천로669번길,126.7653357,37.51623917
22022,룩인터내셔널,경기도,부천시,중동,,1149-2,길주로,126.7702125,37.50323252
22023,투아워,대전광역시,서구,월평동,,282,청사로,127.3789058,36.35941847
22025,명호국제관광,서울특별시,서대문구,북가좌동,,309-1,응암로,126.9117005,37.58079458
22026,메디컬아시아네트웍스,서울특별시,마포구,동교동,,165-8,양화로,126.9234466,37.55611307
22027,성일관광,충청북도,음성군,금왕읍,무극리,67-43,,127.5939713,36.99019187
22028,YOUNTOUR,부산광역시,중구,영주동,,551-1,중구로,129.0345878,35.11112644
22029,버킷리스트,대전광역시,유성구,장대동,,352-3,유성대로,127.3366699,36.36150367
22031,하나글로벌라이프,서울특별시,강서구,등촌동,,684-1,강서로,126.8414898,37.56718481
22032,해태관광,광주광역시,동구,대인동,,320-12,독립로,126.913096,35.15627294
22033,대국기업,대전광역시,중구,은행동,,45-14,중앙로,127.4282456,36.32930179
22034,제주허브동산별빛놀이,제주특별자치도,서귀포시,표선면,표선리,06-Jan,,126.8155951,33.33033318
22035,제천겨울벚꽃축제,충청북도,제천시,중앙로1가,,221-1,,128.2111621,37.13837577
22036,괴강관광농원카라반캠핑장,충청북도,괴산군,칠성면,두천리,378-1,괴강로,127.8239868,36.79950766
22037,보성웅치솔밭,전라남도,보성군,웅치면,용반리,421,,127.0184427,34.70233193
